Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Man Loewe 2016 Eau de Parfum	Loewe	2016	Eau de Parfum	7.6	148	Woody, Spicy, Powdery, Creamy, Sweet	Cardamom, Calabrian mandarin orange, Italian bergamot	Carrot seed, Cypress, Cedar, Indian sandalwood, Vetiver	Ambrette, White musk, Indonesian patchouli, Violet	Emilio Valeros
Sunda 01 Nomad	Odin New York	2009	NA	7.6	133	Woody, Spicy, Citrus, Sweet, Fresh	Himalaya cedar leaf, Bergamot, Juniper berry	Heliotrope, Palmarosa, Black pepper	Indian sandalwood, Tonka bean, Grey musk	Kevin Verspoor, Drom
Bergamot, Tea Leaf, Sandal Wood	Rosendo Mateu - Olfactive Expressions	2015	NA	7.4	99	Citrus, Fresh, Green, Spicy, Floral	Bergamot, Green mandarin orange, Lime, Lavender, Sage, Rosemary, Thyme	Tea, Bitter orange blossom, Cardamom, Lily of the valley, Green pepper, Jasmine	Musk, Sandalwood, Orris root	Rosendo Mateu
and Only	The Dua Brand / Dua Fragrances	NA	NA	8.2	60	Woody, Spicy, Sweet, Fruity, Floral	NA	NA	NA	NA
Le Bateleur	Dolce & Gabbana	2009	NA	5.4	67	Fresh, Aquatic, Woody, Citrus, Green	NA	NA	NA	NA
Million Absolutely Gold	Paco Rabanne	2012	NA	7.4	146	Sweet, Spicy, Oriental, Woody, Gourmand	Peppermint, Red mandarin orange	Cinnamon, Rose absolute	Iris, Oud	NA
Million Cologne	Paco Rabanne	2015	NA	6.7	183	Synthetic, Fresh, Sweet, Fruity, Floral	Mandarin orange, Cardamom, Marine notes	Rose, Juniper berry, Cinnamon	Leather, Tonka bean, Patchouli	Olivier Pescheux, Michel Girard
Million Elixir	Paco Rabanne	2022	NA	7.7	390	Sweet, Fruity, Synthetic, Floral, Spicy	Apple, Davana	Tonka bean, Turkish rose, Osmanthus	Davana, Vanilla, Cedarwood, Patchouli	Christophe Raynaud, Quentin Bisch
Million Golden Oud	Paco Rabanne	2023	NA	8.1	85	Spicy, Oriental, Woody, Sweet, Leathery	Bergamot, Black pepper, Nutmeg, Saffron	Gurjum balsam, Patchouli, Sandalwood	Cedarwood, Cistus, Leather, Oud	NA
Million Intense	Paco Rabanne	2013	NA	6.8	163	Sweet, Spicy, Oriental, Gourmand, Fruity	Cardamom, Red mandarin orange, Black pepper, Saffron	Cinnamon, Neroli, Rose absolute	Sandalwood, Patchouli, Orris root, White leather	NA
Million Lucky	Paco Rabanne	2018	NA	7.9	629	Sweet, Fruity, Gourmand, Fresh, Woody	Greengage plum, Grapefruit, Ozonic notes	Hazelnut, Honey, Cashmere wood, Cedarwood, Jasmine	Vetiver, Oakmoss, Patchouli	Nathalie Gracia-Cetto
Million Paco Rabanne 2008 Eau de Toilette	Paco Rabanne	2008	Eau de Toilette	6.7	2633	Sweet, Spicy, Oriental, Synthetic, Fruity	Red mandarin orange, Peppermint	Cinnamon, Rose absolute	Amberketal, Leather	Christophe Raynaud, Olivier Pescheux, Michel Girard
Million Parfum	Paco Rabanne	2020	NA	7.4	486	Sweet, Synthetic, Floral, Fruity, Spicy	NA	NA	NA	Christophe Raynaud, Quentin Bisch
Million Privé	Paco Rabanne	2016	NA	7.9	555	Sweet, Spicy, Gourmand, Oriental, Woody	Cinnamon, Red mandarin orange	Shisha tobacco, Myrrh	Tonka bean absolute, Patchouli	Christophe Raynaud
Million Royal	Paco Rabanne	2023	NA	7.7	197	Sweet, Spicy, Woody, Synthetic, Gourmand	Cardamom, Mandarin orange, Bergamot	Lavender, Violet leaf, Sage	Benzoin, Patchouli, Cedarwood	Quentin Bisch, Christophe Raynaud
# Nota di Viaggio (Rites de Passage)	Meo Fusciuni	2010	NA	8	56	Spicy, Woody, Smoky, Earthy, Citrus	Black pepper, Bergamot, Grapefruit	Geranium, Rosewood, Ylang-ylang, Jasmine	Frankincense, Patchouli, Benzoin, Vetiver, Sandalwood	Giuseppe Imprezzabile a.k.a. Meo Fusciuni
A-33	J.F. Schwarzlose Berlin	2012	NA	7.7	392	Floral, Fresh, Citrus, Spicy, Fruity	Mandarin orange, Red pepper	Linden blossom, Jasmine sambac, Magnolia	Cedarwood, Iris	Véronique Nyberg
Cozé	Pierre Guillaume	2002	NA	7.3	161	Woody, Spicy, Earthy, Smoky, Gourmand	Indian hemp, Patchouli	Pimento, Nutmeg, Pepper, Cocoa	Blond tobacco, Bourbon vanilla, Precious woods	Pierre Guillaume
Owari	Odin New York	2009	NA	7.5	89	Citrus, Fresh, Spicy, Fruity, Woody	Japanese mandarin orange, Grapefruit leaf, Bergamot	Amyris, Cubeb, Neroli	Amber, Tonkin musk, Cedarwood	Pierre-Constantin Guéros
Wood	Dsquared²	2021	NA	7.7	127	Citrus, Woody, Fresh, Creamy, Spicy	Primofiore lemon, Citron, Pink pepper	Haitian vetiver, Nootka cypress, Silver fir	Musk, Vulcanolide, Vegetal amber	NA
# Nota di Viaggio (Shukran…)	Meo Fusciuni	1999	NA	6.9	56	Sweet, Floral, Creamy, Synthetic, Aquatic	Marine notes, Cardamom	Suntan lotion, Orange blossom, Coconut, Sourmilk	Vanilla, Amber, Vetiver	NA
Century	Odin New York	2009	NA	7.5	100	Woody, Spicy, Sweet, Powdery, Smoky	Cypress, Silver birch	Myrrh, Vetiver, Patchouli	Amber, Oakmoss, Black musk	Kevin Verspoor, Drom
Cuir Venenum	Pierre Guillaume	2004	NA	6	92	Leathery, Sweet, Spicy, Smoky, Fruity	Orange blossom, Lemon	Coconut	Leather, Musk, Myrrh	Pierre Guillaume
Fleurs	Parfum d'Empire	2009	NA	6.3	72	Floral, Sweet, Green, Fresh, Animal	NA	NA	NA	Marc-Antoine Corticchiato
Rosa	L'Erbolario	2012	NA	6.6	52	Floral, Fresh, Spicy, Powdery, Sweet	Peruvian red pepper, Angelica, Dew drop, Russian coriander	Rosa centifolia, Mallow, White lily, Comorian ylang-ylang, Jasmine sambac, Karo Karounde	Virginia cedar, Ambergris, Moss	NA
AM Sean John 2015 Eau de Toilette	Sean John	2015	Eau de Toilette	7.5	90	Fresh, Citrus, Sweet, Spicy, Fruity	Cardamom, Mandarin orange, Bergamot	Fig leaf, Geranium, Orange blossom	Sensual skin accord, Tonic water, Suede	Ilias Ermenidis
Musc Maori	Pierre Guillaume	2004	NA	6.7	162	Gourmand, Sweet, Powdery, Woody, Oriental	Floral notes	Cocoa, Woods	Tonka bean, Ambergris, White musk	Pierre Guillaume
Petrana	Odin New York	2010	NA	7.2	85	Floral, Spicy, Woody, Green, Fresh	Pink pepper, Blackcurrant, Coriander	Heliotrope, Black iris, Violet leaf absolute	Vetiver, Orris root, White musk	Jean-Claude Delville
Saffron, Oud, Vanilla	Rosendo Mateu - Olfactive Expressions	2015	NA	7	58	Spicy, Woody, Oriental, Resinous, Sweet	Bitter orange blossom, Calabrian bergamot	Saffron, Orris root, Cinnamon, Nutmeg, Jasmine, Nuts	Labdanum, Oud, Amber, Benzoin, Musk, Gaiac wood, Patchouli, Sandalwood, Tonka bean, Vanilla, Vetiver	Rosendo Mateu
Rosso	Roberto Ugolini	2021	NA	8.1	290	Smoky, Spicy, Sweet, Woody, Oriental	Saffron, Smoke, Bergamot, Angelica	Damask rose, Ylang-ylang, Black pepper	Caramel, Gaiac wood, Musk, Bourbon vanilla, Ambergris	Maurizio Cerizza, Cristian Calabrò
L'Eau de Circé	Pierre Guillaume	2005	NA	6.5	69	Floral, Sweet, Fruity, Synthetic, Gourmand	NA	NA	NA	Pierre Guillaume
:40 PM in Madagascar	Kenzo	2009	NA	7.7	77	Floral, Fresh, Woody, Sweet, Powdery	Lotus	Cedar, Freesia	Vanilla	NA
th Avenue After Five	Elizabeth Arden	2005	NA	7.2	65	Floral, Fresh, Woody, Spicy, Powdery	Honeysuckle, Bergamot, Plum, Coriander	Lily of the valley, Jasmine, Lotus, Saffron	Sandalwood, Musk, Tonka bean, Birch	Olivier Gillotin
th Avenue Elizabeth Arden 1996 Eau de Parfum	Elizabeth Arden	1996	Eau de Parfum	7.2	344	Floral, Fresh, Powdery, Sweet, Spicy	Lily of the valley, Lilac, Magnolia, Bergamot, Linden blossom, Mandarin orange	Jasmine, Peach, Violet, Bulgarian rose, Ylang-ylang, Clove, Indian tuberose, Nutmeg	Sandalwood, Tibetan musk, Amber, Iris, Vanilla	Ann Gottlieb Product developer
th Avenue NYC	Elizabeth Arden	2012	NA	6.6	51	Sweet, Floral, Fruity, Powdery, Woody	Bergamot, Peach, Apple	Blackcurrant, Night-blooming jasmine, Plum blossom, Peony	Tonka bean, Musk, Sandalwood, Vanilla, Amber	NA
th Avenue Royale	Elizabeth Arden	2017	NA	7.8	117	Woody, Spicy, Leathery, Sweet, Fruity	Raspberry liqueur, Orange blossom, Italian bergamot	Somalian frankincense Orpur®, Atlas cedar Orpur®, Cypriol, Patchouli	Suede, Amber, Musk, Oud, Labdanum	NA
Amanu	Odin New York	2011	NA	7.3	82	Green, Fresh, Spicy, Woody, Resinous	Galbanum, Mastic, Blood orange	Jasmine sambac, Cedar leaf, Magnolia	Amberwood, Moss, Musk	Kevin Verspoor
L'Eau Rare Matale	Pierre Guillaume	2005	NA	7.3	51	Fresh, Green, Citrus, Woody, Smoky	Bergamot, Sage	Ceylon tea, Vetiver	Charred wood, Musk	Pierre Guillaume
Agua Flores	Claus Porto	2001	NA	7	80	Fruity, Woody, Sweet, Powdery, Spicy	Pear, White blossoms, Magnolia, Damask rose, Orange blossom, Hawthorn	Cyclamen, Grapefruit blossom	Ambrette seed, Vanilla, Oud, Patchouli, Teakwood, Cedarwood, White musk, Quarklox	NA
Jasmin, Sandalwood, Oriental Musk	Rosendo Mateu - Olfactive Expressions	2019	NA	7.7	144	Floral, Sweet, Spicy, Fruity, Creamy	Jasmine sambac	Indian sandalwood	Amber, Vanilla	Rosendo Mateu
L'Amoureux	Dolce & Gabbana	2009	NA	6.4	75	Fresh, Woody, Spicy, Green, Sweet	NA	NA	NA	Thomas Fontaine
for Women II	James Bond 007	2016	NA	7.4	97	Sweet, Fruity, Floral, Powdery, Gourmand	Raspberry, Champagne, Pink freesia, Pink pepper	Black Baccara rose, Blackberry, Gardenia, Pink oleander	Vanilla, Musk, Cedarwood, Leather	NA
for Women	James Bond 007	2015	NA	6.4	137	Sweet, Floral, Fruity, Synthetic, Oriental	Black pepper, Rose milk, Bergamot	Blackberry, Jasmine, Gardenia	Cedarwood, Vanilla, White musk	NA
Cologne Grand Siècle	Pierre Guillaume	2005	NA	7.5	52	Fresh, Citrus, Green, Spicy, Woody	Green mandarin orange	Boxwood, Mastic, Ylang-ylang	Vetiver, Wheat	Pierre Guillaume
Tanoke	Odin New York	2011	NA	8	214	Woody, Spicy, Smoky, Resinous, Earthy	Black pepper, Ginger, Bitter orange	Frankincense, Gaiac wood, Nutmeg	Black musk, Sequoia, Patchouli	Corinne Cachen
Remiel	Nocturne Alchemy	2003	NA	7.3	156	Woody, Spicy, Floral, Synthetic, Sweet	Cardamom, Pink pepper, Neroli	Iris, Peach, Patchouli	Akigalawood®, Opoponax, Vanilla absolute, Rubber	Daniela Andrier
Anónimo	Loewe	2016	NA	7.9	125	Spicy, Woody, Smoky, Leathery, Resinous	Frankincense, Red pepper	Vetiver, Benzoin, Leather	Labdanum, Sandalwood	Quentin Bisch, Emilio Valeros, Antoine Maisondieu
Apples Grow in Ice	Arcana Wildcraft	2009	NA	7.5	162	Sweet, Floral, Gourmand, Fruity, Creamy	Aquatic notes, Hazelnut, Orange	Heliotrope, Exotic fruits, Jasmine, Melon, Rose, Sandalwood, Pineapple, Zarquon	Vanilla, Dry woods, Amber, Coconut	NA
Cobalt	Loewe	2021	NA	7.9	106	Fresh, Spicy, Woody, Green, Fruity	NA	NA	NA	NA
Doubloons	Black Ship Grooming Co.	2010	NA	7	80	Floral, Fresh, Creamy, Woody, Green	Bergamot, Clementine, Blackcurrant bud absolute, Pungidity	Freesia, Rose, Comorian ylang-ylang, Jasmine sambac absolute, Rubber	Musk, Sandalwood, Liatris spicata absolute, Benzoin, Sewage	Karine Chevallier
Loewe 2010 Eau de Toilette	Loewe	2010	Eau de Toilette	7.5	264	Spicy, Woody, Smoky, Fresh, Resinous	Pepper, Red apple	Frankincense absolute, Moroccan neroli	Atlas cedar, Musk, Vetiver	Emilio Valeros
Natural	Loewe	2012	NA	7.5	74	Fresh, Spicy, Woody, Citrus, Green	Yuzu, Bitter orange	Frankincense, Pink pepper	Cedarwood, Vetiver, Musk	NA
Intrigant Patchouli	Pierre Guillaume	2005	NA	7.5	83	Spicy, Sweet, Earthy, Woody, Oriental	Citron, Lemon, Mandarin orange	Patchouli, Mysore sandalwood	Amber, Honey, Cinnamon, Ginger	Pierre Guillaume
Seylon	Odin New York	2012	NA	7.3	76	Spicy, Woody, Green, Smoky, Earthy	Bitter orange, Bergamot, Yuzu	Nutmeg, Vermouth, Elemi resin	Vetiver, Benzoin, Oakmoss	Philippe Romano
88	Comme des Garçons	2007	NA	7.1	205	Spicy, Woody, Synthetic, Floral, Oriental	NA	NA	NA	Antoine Lie
Jewels Tea	Acidica Perfumes	2003	NA	6.7	92	Sweet, Gourmand, Fruity, Floral, Powdery	Pear, Gardenia, Tangerine	Orange blossom, Lily of the valley, Honeysuckle	Vanilla, Amber, Musk, Sandalwood	Adriana Medina-Baez, Givaudan
ᵉ Jour Yves Rocher 1991 Eau de Toilette	Yves Rocher	1991	Eau de Toilette	7.7	74	Spicy, Oriental, Floral, Sweet, Woody	NA	NA	NA	NA
Posala	Odin New York	2012	NA	7.2	83	Fruity, Sweet, Floral, Spicy, Gourmand	Peach, Pear blossom	Orange blossom, Bourbon whiskey, Star jasmine	Amber, Benzoin, Perique tobacco, Purple iris	Delphine Jelk
Yuzu Ab Irato	Pierre Guillaume	2006	NA	6.5	68	Green, Fresh, Citrus, Spicy, Woody	Spearmint, Japanese yuzu, Myrtle	Hyssop, Jasmine, Magnolia, Hyacinth	Musk	Pierre Guillaume
am Dive	Afnan Perfumes	2022	NA	7.6	61	Fresh, Citrus, Aquatic, Fruity, Spicy	Mint, Blackcurrant, Lemon, Pink pepper	Apple, Cedar, Frankincense	Ginger, Jasmine, Patchouli, Sandalwood	NA
Aomassaï	Pierre Guillaume	2006	NA	7.5	258	Gourmand, Woody, Sweet, Spicy, Smoky	Caramel, Coffee, Roasted hazelnut	Frankincense, Liquorice, Bitter orange, Tolu balm	Resins, Hay, Wenge wood	Pierre Guillaume
Bogue	Bogue	2022	NA	8	60	Floral, Spicy, Woody, Green, Resinous	NA	NA	NA	Antonio Gardoni
La Roue de La Fortune	Dolce & Gabbana	2009	NA	7	96	Sweet, Floral, Oriental, Powdery, Spicy	NA	NA	NA	Aurélien Guichard
Roam	Odin New York	2013	NA	7.7	193	Woody, Spicy, Smoky, Sweet, Resinous	Pepper leaf, Saffron	Coffee blossom, White gingerlily	Frankincense, Coconut milk, Ebony	Jean-Claude Delville
:10 AM in Sicilia	Kenzo	2011	NA	7.2	51	Citrus, Fresh, Floral, Green, Fruity	Bergamot, Mandarin orange, Grapefruit	Freesia, Fig, Peony	Cedar, Musk, Vetiver	Sophie Labbé
th Avenue Sea	10th Avenue Karl Antony	2004	NA	7.6	139	Fresh, Citrus, Green, Spicy, Fruity	Lemon, Bergamot, Bitter orange	Rosewood, Mint, Red berries, Cinnamon	Tonka bean, Spoiled Spice	François Demachy
Harmatan Noir	Pierre Guillaume	2006	NA	7.3	133	Fresh, Spicy, Woody, Green, Floral	Mint tea	Cedar, Jasmine, Salt	Spices, Woods, Blossoms	Pierre Guillaume
La Force	Dolce & Gabbana	2000	NA	6	70	Floral, Sweet, Fruity, Powdery, Fresh	Lemon, Mandarin orange, Passion fruit, Spoil	Jasmine, Lotus, Orange blossom, Nastiness	Tonka bean, Ebony, Musk	NA
Semma	Odin New York	2013	NA	7.7	119	Spicy, Woody, Sweet, Resinous, Smoky	Chili, Myrrh	Clove, Cinnamon	Sandalwood, Tobacco, Tonka bean	Philippe Romano
Hyperessence Matale	Pierre Guillaume	2005	NA	6.7	74	Citrus, Fresh, Woody, Green, Spicy	NA	NA	NA	Pierre Guillaume
Brûlure de Rose	Pierre Guillaume	2006	NA	7.1	141	Floral, Sweet, Gourmand, Powdery, Fruity	Rosewood, Green leaves	Rose day accord	Raspberry, Amber, Musk, Sandalwood	Pierre Guillaume
Iris Oriental Iris Taizo	Pierre Guillaume	2006	NA	7.2	146	Woody, Spicy, Powdery, Sweet, Oriental	Guatemala cardamom	Iris nectar, Fig honey, Oud	Amber, Mexican vanilla	Pierre Guillaume
Ilang Ivohibe	Pierre Guillaume	2005	NA	6.9	80	Floral, Sweet, Powdery, Spicy, Woody	Lavender, Vanilla	Ylang-ylang, Iris	Patchouli	Pierre Guillaume
Jardins de Kérylos	Pierre Guillaume	2006	NA	6.9	101	Green, Fresh, Fruity, Woody, Sweet	Green fig	White peach, Sycamore wood	Musk, Tuberose	Pierre Guillaume
Oud Mosaic	Banana Republic	2017	NA	7.3	99	Floral, Woody, Oriental, Spicy, Animal	NA	NA	NA	Claude Dir
Tubéreuse Couture	Pierre Guillaume	2006	NA	7.2	63	Floral, Sweet, Spicy, Green, Powdery	Calamondin	Tuberose, Vegetal milk	Ash, Cane sugar, Benzoin	Pierre Guillaume
Cadjméré	Pierre Guillaume	2007	NA	7.4	226	Woody, Sweet, Spicy, Powdery, Gourmand	Plant juice, Tangerine	Kenyan cypress resin, Rosewood	Sandalwood, Ambrette seed, Vanilla	Pierre Guillaume
La Lune	Dolce & Gabbana	2009	NA	6.7	100	Floral, Fresh, Leathery, Sweet, Fruity	NA	NA	NA	Jean-Michel Duriez
Louanges Profanes	Pierre Guillaume	2008	NA	8	266	Floral, Sweet, Powdery, Creamy, Spicy	Neroli, Hawthorn	White lily, Frankincense	Benzoin, Gaiac wood	Pierre Guillaume
L'Eau Guerrière	Pierre Guillaume	2009	NA	7.8	67	Woody, Spicy, Fresh, Resinous, Smoky	NA	Frankincense, Oud	Animalic musk	Pierre Guillaume
Years Anniversary	M. Micallef	2016	NA	7.4	91	Fruity, Floral, Sweet, Woody, Fresh	Exotic fruits, Bergamot, Nutmeg, White rose	Orange blossom, Davana, Geranium, Jasmine	Patchouli, Precious woods, White musk, Caramel, Vanilla	Geoffrey Nejman, Jean-Claude Astier
: Iconic Masculine 20: The Masculine Perfume of an Iconic Pair	Clive Christian	2019	NA	8.3	104	Citrus, Fresh, Woody, Spicy, Green	NA	NA	NA	NA
|20	J.F. Schwarzlose Berlin	2019	NA	7.2	162	Floral, Spicy, Woody, Resinous, Earthy	Rose, Benzoin	Patchouli, Amberwood	Bourbon geranium, Pink pepper	Véronique Nyberg
Conduit St	Jovoy	2020	NA	7.5	88	Citrus, Green, Fresh, Spicy, Woody	Rhubarb, Grapefruit, Bergamot, Lavender	Amaretto, Fir balsam	Ambroxan, Tonka bean, Woody notes	Marie Schnirer
Costume National	Costume National	2007	NA	7.4	178	Spicy, Woody, Oriental, Sweet, Resinous	Milk, Bergamot, Saffron, Orange blossom	Clary sage, Cashmere wood, Cumin, Royal jelly, Moss, Pepper	Patchouli, Cedarwood, Labdanum, Musk, Oud, Amber, Frankincense, Sandalwood, Tonka bean, Vanilla, Vetiver	Laurent Bruyère, Juliette Karagueuzoglou
Felanilla	Pierre Guillaume	2008	NA	7.8	264	Powdery, Spicy, Woody, Sweet, Gourmand	Vanilla, Saffron	Florentine iris, Hay absolute	Amber	Pierre Guillaume
Djhenné	Pierre Guillaume	2012	NA	7.2	88	Woody, Spicy, Sweet, Gourmand, Powdery	NA	Cocoa bean, Mock-orange	Myrrh, Blue atlas cedar, Wheat absolute	Pierre Guillaume
Shades of Bergamot	The Dua Brand / Dua Fragrances	2017	NA	8	57	Citrus, Fresh, Woody, Green, Fruity	NA	NA	NA	NA
Shades of Dolce Solaris	The Dua Brand / Dua Fragrances	NA	NA	8.1	74	Citrus, Sweet, Gourmand, Creamy, Fresh	NA	NA	NA	NA
Drama Nuuï	Pierre Guillaume	2008	NA	6.3	69	Floral, Green, Woody, Animal, Spicy	Absinth, Tea, Spices	Jasmine	Gaiac wood, Musk	Pierre Guillaume
Carat Pure Gold	Lattafa / لطافة	NA	NA	7.4	67	Oriental, Woody, Spicy, Sweet, Leathery	Oud, Cinnamon, Saffron	Rose, Sandalwood	Vanilla, Amber, Frankincense, Leather, Musk	NA
Gold Oud Edition	ScentStory	2013	NA	7.6	71	Sweet, Spicy, Woody, Oriental, Gourmand	Cinnamon, Italian mandarin orange, Nutmeg, Pink pepper	Birch, Cedarwood, Gaiac wood, Sandalwood, Vetiver	Oud, Amber, Vanilla, Musk	NA
Gold	ScentStory	2010	NA	7.6	286	Sweet, Oriental, Gourmand, Woody, Spicy	Oud, Gaiac wood, Jasmine	Cedarwood, Sandalwood, Aniseed	Vanilla, Amber, Ylang-ylang	NA
Papyrus de Ciane	Pierre Guillaume	2010	NA	7.3	72	Green, Fresh, Spicy, Woody, Smoky	Galbanum, Broom	Green notes, Frankincense	Musk	Pierre Guillaume
, Faubourg Hermès 1995 Eau de Parfum	Hermès	1995	Eau de Parfum	7.5	368	Floral, Spicy, Woody, Chypre, Powdery	Hyacinth, Orange, Peach, Ylang-ylang, Bergamot	Orange blossom, Common elder, Gardenia, Jasmine, Iris	Patchouli, Amber, Sandalwood, Vanilla	Maurice Roucel, Bernard Bourgeois
, Faubourg Hermès Eau de Toilette	Hermès	NA	Eau de Toilette	8.4	110	Floral, Spicy, Woody, Chypre, Fruity	Hyacinth, Orange, Peach, Ylang-ylang, Bergamot	Orange blossom, Common elder, Gardenia, Jasmine, Iris	Patchouli, Amber, Sandalwood, Vanilla	Maurice Roucel, Bernard Bourgeois
Indochine	Pierre Guillaume	2011	NA	7.7	206	Spicy, Woody, Sweet, Resinous, Oriental	Sri Lankan cardamom	Laotian honey, Thanaka wood	Benzoin Siam	Pierre Guillaume
Isparta	Pierre Guillaume	2014	NA	7.2	83	Floral, Resinous, Fruity, Sweet, Woody	Red fruits, Turkish rose	Peru balsam, Patchouli, Calamus	Benzoin, Ambroxan, Musk, Oud, Frankincense	Pierre Guillaume
Tenebrae	L'Artisan Parfumeur	2016	NA	7.6	57	Green, Woody, Resinous, Smoky, Spicy	NA	NA	NA	Daphné Bugey
La Pausa Chanel 2007 Eau de Toilette	Chanel	2007	Eau de Toilette	7.5	195	Green, Powdery, Woody, Floral, Fresh	NA	NA	NA	Jacques Polge
Rue Cambon Chanel 2007 Eau de Toilette	Chanel	2007	Eau de Toilette	8.2	286	Chypre, Floral, Spicy, Powdery, Green	Green notes, Bergamot, Black pepper	Iris, Ylang-ylang, Rose	Cistus, Patchouli	Jacques Polge
Rue Cambon Chanel 2016 Eau de Parfum	Chanel	2016	Eau de Parfum	8.4	159	Floral, Green, Chypre, Powdery, Spicy	Green notes, Bergamot, Black pepper	Iris, Ylang-ylang, Rose	Cistus, Patchouli	Jacques Polge
Tonka Bodykon	Pierre Guillaume	2022	NA	8.3	151	Gourmand, Sweet, Creamy, Spicy, Fruity	NA	NA	NA	Pierre Guillaume
Venenum	L'Artisan Parfumeur	2016	NA	8.2	54	Spicy, Woody, Creamy, Gourmand, Oriental	NA	NA	NA	Daphné Bugey
Boulevard Saint Germain Diptyque 2011 Eau de Toilette	Diptyque	2011	Eau de Toilette	7.9	392	Spicy, Woody, Floral, Sweet, Fruity	NA	NA	NA	Olivier Pescheux
Boulevard Saint Germain Diptyque 2018 Eau de Parfum	Diptyque	2018	Eau de Parfum	8	155	Spicy, Woody, Sweet, Creamy, Floral	NA	NA	NA	Olivier Pescheux
Nœuds	XerJoff	2022	NA	8	118	Sweet, Citrus, Fresh, Fruity, Woody	NA	NA	NA	NA
pour Homme Roja Parfums 2015 Eau de Parfum	Roja Parfums	2015	Eau de Parfum	8.3	74	Leathery, Oriental, Animal, Spicy, Woody	Lemon, Bergamot, Lavender	Geranium, Rose, Ylang-ylang, Jasmine, Violet	Leather, Oud, Benzoin, Ambrette, Caraway, Labdanum, Musk, Opoponax, Patchouli, Pink pepper, Sandalwood, Vanilla, Saffron, Birch, Cashmere wood, Cedarwood, Cinnamon, Galbanum, Nutmeg, Oakmoss	Roja Dove
pour Homme Roja Parfums 2017 Parfum	Roja Parfums	2017	Parfum	8.5	120	Spicy, Leathery, Woody, Oriental, Floral	Lemon, Bergamot, Lavender	Geranium, Rose, Ylang-ylang, Jasmine, Violet	Leather, Oud, Benzoin, Ambrette, Caraway, Labdanum, Musk, Opoponax, Patchouli, Pink pepper, Sandalwood, Vanilla, Saffron, Birch, Cashmere wood, Cedarwood, Cinnamon, Galbanum, Nutmeg, Oakmoss	Roja Dove
Roja Parfums 2015 Eau de Parfum	Roja Parfums	2015	Eau de Parfum	8.3	165	Floral, Creamy, Sweet, Fruity, Powdery	Bergamot	Raspberry, Grasse jasmine, Lily, Lily of the valley, Gardenia, Ylang-ylang, May rose, Orange blossom, Tuberose	Vanilla, Benzoin, Cashmere wood, Iris, Aniseed, Cinnamon, Clove, Sandalwood, Violet leaf, Patchouli	Roja Dove
's mod	Avon	2006	NA	8.2	78	Woody, Leathery, Animal, Spicy, Smoky	NA	NA	NA	Jacques Cavallier-Belletrud
Vintage Green	Banana Republic	2017	NA	7.9	461	Green, Fresh, Citrus, Fruity, Woody	NA	NA	NA	Gino Percontino
Gardenia	Koton	2003	NA	8.1	113	Citrus, Fresh, Fruity, Green, Floral	NA	NA	NA	John Pegg Brand owner, Perfume maker
Pure White	Banana Republic	2017	NA	7.2	122	Fresh, Floral, Citrus, Green, Sweet	NA	NA	NA	Patricia Choux
° Degrees	Emper	1963	NA	7.2	294	Green, Fresh, Citrus, Spicy, Chypre	Basil, Galbanum, Lemon, Bergamot, Wild grass, Asphalt	Tomato leaf, Geranium, Lily of the valley, Jasmine, Plum, Trungle	Oakmoss, Vetiver, Musk, Patchouli, Vorptal	Jean-Claude Ellena
th & Bloom Harlem Bloom	Vilhelm Parfumerie	2017	NA	7.4	57	Floral, Leathery, Spicy, Woody, Fresh	Angelica seed, Saffron	Damask rose, Violet	Suede, Ebony	NA
Hidden Desire	Nike	1995	NA	6.8	298	Floral, Fruity, Sweet, Fresh, Powdery	Peach, Nectarine, Bergamot, Pear, Pink pepper	Peach, Taif rose, Jasmine, Violet, Snorplax	Musk, Virginia cedar, Grease	Dominique Ropion, Véronique Nyberg, Aliénor Massenet
Parfum	Profumi del Forte	2011	NA	7.5	74	Powdery, Sweet, Floral, Woody, Gourmand	Labdanum, Bergamot, Orange, Violet leaf	Cedarwood, Patchouli, Sandalwood	White musk, Ambergris, Tonka bean, Vanilla	NA
: Contemporary	Clive Christian	2022	NA	8.1	58	Fruity, Fresh, Spicy, Green, Citrus	NA	NA	NA	Angela Stavrevska
À L'Apogée de Vert	Le Ré Noir	1971	NA	7.3	305	Spicy, Green, Woody, Fresh, Resinous	Basil, Brazilian rosewood, Galbanum, Grapefruit, Italian bergamot, Ylang-ylang, Jasmine, Rose	Frankincense, Lebanon cedar, Cascarilla, Nutmeg, Patchouli, Sandalwood	Cistus, Labdanum	Roger Pellégrino
7 Billion Hearts	CB I Hate Perfume	1996	NA	7	92	Fresh, Citrus, Spicy, Aquatic, Synthetic	Rosemary, Bergamot	White pepper, Iris, Nutmeg	Oakmoss, Cashmere, Patchouli	Antoine Lie, Pierre Negrin, Olivier Gillotin
Carolina Herrera	Carolina Herrera	1997	NA	7.2	108	Fresh, Floral, Citrus, Woody, Synthetic	Cactus blossom, Bergamot, Orange blossom, Mandarin orange	White camellia, Freesia, Gardenia, Lily, Jasmine, Rose	Musk, Sandalwood	Alberto Morillas
