Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
L'Origan Coty 1905 Parfum	Coty	1905	Parfum	8.5	75	Spicy, Floral, Woody, Animal, Powdery	Peach, Coriander, Pepper, Bergamot, Mandarin orange	Carnation, Clove, Jasmine, Ylang-ylang, Iris, Rose, Orchid	Labdanum, Musk, Benzoin, Cedarwood, Sandalwood, Vanilla	François Coty
L'orpheline	Serge Lutens	2014	NA	7.5	283	Smoky, Spicy, Woody, Resinous, Earthy	NA	NA	NA	NA
L'oscar pour Homme	Roja Parfums	2018	NA	7.8	53	Spicy, Chypre, Woody, Floral, Green	Grapefruit	Carnation, Cistus	Cedarwood, Celery seed, Nutmeg, Oakmoss, Pink pepper, Vetiver, Gaiac wood, Galbanum, Pepper, Sandalwood	NA
L'oscar	Roja Parfums	2018	NA	8.5	60	Floral, Powdery, Creamy, Animal, Sweet	Aldehydes, Bergamot, Mandarin orange	Carnation, Heliotrope, Geranium, Grasse jasmine, May rose, Neroli, Orange blossom, Palmarosa, Violet, Ylang-ylang	Clove, Tonka bean, Cedarwood, Iris, Mastic, Musk, Civet, Leather	Roja Dove
Lothair	Penhaligon's	2014	NA	7.9	211	Spicy, Woody, Sweet, Green, Fresh	Cardamom, Fig leaf, Juniper berry, Bergamot, Grapefruit, Red berries	Black tea, Lavender, Fig milk, Geranium, Magnolia	Cedar, Vanilla, Ambergris, Musk, Oakmoss, Wenge wood	Bertrand Duchaufour
Louban	Montale	2009	NA	7.5	57	Floral, Woody, Oriental, Green, Resinous	NA	NA	NA	NA
Loubicharme	Christian Louboutin	2002	NA	6.5	71	Floral, Green, Fresh, Spicy, Synthetic	NA	NA	NA	Calice Becker
Loubicroc	Christian Louboutin	2007	NA	7.3	77	Fresh, Floral, Green, Fruity, Citrus	Cherry blossom, Yuzu, Plum	Lotus, Tea, Osmanthus, Lily, Spoil	Musk, Birch, Sludge	Rodrigo Flores-Roux
L'Oudh	Tauer Perfumes	2018	NA	7.7	106	Animal, Woody, Smoky, Spicy, Resinous	NA	NA	NA	Andy Tauer
Loukhoum Eau Poudrée	Keiko Mecheri	2007	NA	7.8	213	Sweet, Powdery, Gourmand, Floral, Oriental	NA	NA	NA	NA
Loukhoum	Keiko Mecheri	1998	NA	7.8	308	Sweet, Gourmand, Powdery, Oriental, Floral	NA	NA	NA	NA
Loukhoum Parfum du Soir	Keiko Mecheri	2007	NA	8.1	124	Sweet, Gourmand, Oriental, Powdery, Woody	NA	NA	NA	NA
Loulou Cacharel 1987 Eau de Parfum	Cacharel	1987	Eau de Parfum	7.1	666	Floral, Sweet, Oriental, Powdery, Spicy	Cassia, Cinnamon, Jasmine, Lily, Plum, Violet, Aniseed, Iris, Mimosa	Heliotrope, Orange blossom, Tuberose, Ylang-ylang, Orris root, Pot marigold	Benzoin, Musk, Sandalwood, Vanilla, Frankincense	Jean Guichard
Louve	Serge Lutens	2007	NA	7.3	231	Sweet, Gourmand, Powdery, Floral, Oriental	Almond	Musk, Rose, Jasmine	Resins, Amber, Vanilla	Christopher Sheldrake, Serge Lutens
Love & Luck for Men	Ed Hardy	2008	NA	5.9	103	Fresh, Citrus, Synthetic, Fruity, Sweet	Bergamot, Cardamom, Mandarin orange, Orange	Absinth, Cypress, Sage, Violet	Cedarwood, Musk, Oud, Vetiver	Olivier Gillotin
Love Affair Eisenberg Eau de Parfum	Eisenberg	NA	Eau de Parfum	7.1	114	Floral, Woody, Sweet, Fresh, Fruity	Red currant, White blossoms	Heliotrope, Jasmine, Rose	Sandalwood, Tobacco, White musk	NA
Love and Tears Surrender Kilian 2010 Perfume	Kilian	2010	Perfume	6.2	132	Floral, Green, Sweet, Fresh, Spicy	NA	NA	NA	Calice Becker
Love At First Sight	Une Nuit Nomade	2023	NA	7.1	139	Floral, Fresh, Green, Fruity, Synthetic	NA	NA	NA	Elia Chiche
Love	Chopard	2020	NA	7.6	115	Floral, Oriental, Spicy, Sweet, Woody	Taif rose, Turkish damask rose, Mandarin orange zest, Violet, Cinnamon, Pink pepper	Bulgarian damask rose, Moroccan Rosa centifolia absolute, Orange blossom, Jasmine sambac	Turkish damask rose absolute, Brown sugar, Cedarwood, Patchouli, Sandalwood, Cocoa, Honey, Tonka bean, Vanilla	Alberto Morillas
Love Delight	Amouage	2024	NA	7.4	129	Sweet, Floral, Creamy, Spicy, Powdery	Ginger, Cinnamon, Rose water, Mandarin orange	Heliotrope, Rose, Jasmine	Vanilla, Cocoa, Rum absolute, Cypriol	Pascal Gaurin
Love Don't Be Shy Extreme	Kilian	2021	NA	8.1	144	Sweet, Floral, Gourmand, Creamy, Powdery	NA	NA	NA	Calice Becker
