freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,CZ07	2.6 	2.2 	2.8 	2.6 	2.8 	2.0 	2.8 	2.7 b
A,PC_EMP,CZ08	2.5 	2.8 	3.1 	2.6 	2.7 	2.9 	2.4 	3.3 b
A,PC_EMP,DE	4.1 	4.1 	4.0 	4.0 	4.0 	4.0 	3.8 bp	3.8 bp
A,PC_EMP,DE1	4.2 	4.0 	3.9 	3.8 	3.8 	3.8 	3.9 bp	3.5 bp
A,PC_EMP,DE11	4.6 	4.5 	4.5 	4.1 	4.1 	4.2 	4.2 bp	3.6 bp
A,PC_EMP,DE12	4.3 	4.0 	3.8 	4.1 	3.7 	3.6 	4.0 bp	3.6 bp
A,PC_EMP,DE13	3.7 	3.7 	3.8 	3.6 	3.5 	3.8 	3.3 bu	3.6 bp
A,PC_EMP,DE14	3.7 	3.6 	3.0 	3.0 	3.3 	3.3 	3.6 bu	3.1 bu
A,PC_EMP,DE2	4.2 	4.2 	4.1 	4.0 	4.0 	3.9 	3.5 bp	3.9 bp
A,PC_EMP,DE21	5.9 	5.9 	5.8 	5.6 	5.7 	5.3 	4.6 bp	5.6 bp
A,PC_EMP,DE22	2.2 	2.1 	2.2 	2.2 	2.3 	2.6 	: bu	: bu
A,PC_EMP,DE23	2.4 	2.7 	2.7 	3.1 	2.5 	3.0 	: bu	: bu
A,PC_EMP,DE24	2.9 	3.1 	3.3 	2.6 	2.7 	2.7 	: bu	: bu
A,PC_EMP,DE25	3.8 	3.9 	3.8 	3.4 	3.6 	3.8 	: bu	3.3 bu
A,PC_EMP,DE26	3.4 	3.2 	3.2 	3.2 	2.8 	2.7 	: bu	: bu
A,PC_EMP,DE27	3.9 	3.7 	3.6 	3.6 	3.9 	3.6 	3.9 bp	3.0 bu
A,PC_EMP,DE3	10.5 	10.7 	10.1 	10.2 	10.4 	10.8 	9.9 bp	9.6 bp
A,PC_EMP,DE30	10.5 	10.7 	10.1 	10.2 	10.4 	10.8 	9.9 bp	9.6 bp
A,PC_EMP,DE4	2.7 	3.0 	2.9 	3.0 	3.2 	2.9 	3.0 bu	2.5 bu
A,PC_EMP,DE40	2.7 	3.0 	2.9 	3.0 	3.2 	2.9 	3.0 bu	2.5 bu
A,PC_EMP,DE5	4.9 	3.7 	4.0 	4.3 	4.4 	4.1 	: bu	: bu
A,PC_EMP,DE50	4.9 	3.7 	4.0 	4.3 	4.4 	4.1 	: bu	: bu
A,PC_EMP,DE6	8.1 	8.2 	7.9 	8.2 	7.9 	7.8 	7.5 bp	8.3 bp
A,PC_EMP,DE60	8.1 	8.2 	7.9 	8.2 	7.9 	7.8 	7.5 bp	8.3 bp
A,PC_EMP,DE7	4.1 	3.8 	3.9 	4.1 	3.9 	3.8 	3.5 bp	3.8 bp
A,PC_EMP,DE71	4.7 	4.4 	4.3 	4.5 	4.5 	4.3 	4.0 bp	4.3 bp
A,PC_EMP,DE72	3.5 	3.1 	3.0 	3.0 	2.4 	2.8 	: bu	: bu
A,PC_EMP,DE73	2.7 	2.5 	3.7 	3.8 	3.4 	3.0 	: bu	: bu
A,PC_EMP,DE8	2.8 	3.3 	2.8 	2.6 	2.7 	2.7 	: bu	: bu
A,PC_EMP,DE80	2.8 	3.3 	2.8 	2.6 	2.7 	2.7 	: bu	: bu
A,PC_EMP,DE9	3.2 	3.1 	3.0 	3.0 	2.8 	2.8 	2.8 bp	3.0 bp
A,PC_EMP,DE91	3.3 	3.2 	3.2 	3.1 	2.8 	3.0 	: bu	: bu
A,PC_EMP,DE92	3.9 	4.1 	3.8 	3.3 	3.4 	3.2 	3.0 bu	3.3 bu
A,PC_EMP,DE93	3.1 	2.5 	2.9 	3.0 	2.7 	2.5 	3.1 bu	3.1 bu
A,PC_EMP,DE94	2.7 	2.8 	2.4 	2.5 	2.3 	2.5 	2.4 bu	2.6 bu
A,PC_EMP,DEA	3.8 	3.9 	3.7 	3.7 	3.6 	3.6 	3.6 bp	3.6 bp
A,PC_EMP,DEA1	3.6 	3.7 	3.6 	3.6 	3.4 	3.5 	3.5 bp	3.5 bp
A,PC_EMP,DEA2	4.9 	5.0 	4.8 	4.9 	4.7 	4.8 	4.9 bp	4.6 bp
A,PC_EMP,DEA3	3.2 	3.4 	2.9 	2.7 	2.9 	3.1 	2.7 bu	3.0 bu
A,PC_EMP,DEA4	3.9 	3.9 	3.5 	3.9 	3.8 	3.7 	3.2 bu	3.4 bu
A,PC_EMP,DEA5	2.9 	3.1 	2.9 	2.9 	2.7 	2.7 	2.8 bp	2.8 bp
A,PC_EMP,DEB	3.1 	2.9 	3.4 	3.3 	3.3 	3.4 	3.2 bp	3.4 bp
A,PC_EMP,DEB1	2.7 	2.5 	3.0 	3.0 	2.9 	3.0 	: bu	: bu
A,PC_EMP,DEB2	3.2 	2.6 	2.9 	3.0 	2.9 	3.3 	: bu	: bu
A,PC_EMP,DEB3	3.3 	3.3 	3.8 	3.6 	3.7 	3.6 	3.5 bu	3.5 bu
A,PC_EMP,DEC	2.8 	2.9 	3.2 	2.8 	3.2 	3.0 	: bu	: bu
A,PC_EMP,DEC0	2.8 	2.9 	3.2 	2.8 	3.2 	3.0 	: bu	: bu
A,PC_EMP,DED	3.8 	3.8 	3.8 	3.8 	4.0 	3.9 	3.6 bp	3.4 bp
A,PC_EMP,DED2	3.9 	3.7 	4.2 	4.1 	4.1 	3.6 	3.3 bu	3.4 bu
A,PC_EMP,DED4	3.0 	2.9 	2.3 	2.6 	2.8 	3.0 	: bu	: bu
A,PC_EMP,DED5	5.0 	5.5 	5.1 	5.0 	5.5 	5.5 	: bu	: bu
A,PC_EMP,DEE	2.6 	2.5 	2.3 	2.3 	2.4 	2.3 	: bu	: bu
A,PC_EMP,DEE0	2.6 	2.5 	2.3 	2.3 	2.4 	2.3 	: bu	: bu
A,PC_EMP,DEF	3.8 	3.7 	3.8 	3.5 	3.4 	3.4 	3.2 bp	3.0 bp
A,PC_EMP,DEF0	3.8 	3.7 	3.8 	3.5 	3.4 	3.4 	3.2 bp	3.0 bp
A,PC_EMP,DEG	3.1 	3.0 	2.8 	2.9 	3.0 	3.3 	3.3 bu	2.8 bu
A,PC_EMP,DEG0	3.1 	3.0 	2.8 	2.9 	3.0 	3.3 	3.3 bu	2.8 bu
A,PC_EMP,DK	4.8 	4.8 	4.7 b	4.6 b	4.4 	4.5 	4.6 	4.6 b
A,PC_EMP,DK0	4.8 	4.8 	4.7 b	4.6 b	4.4 	4.5 	4.6 	4.6 b
A,PC_EMP,DK01	7.3 	7.2 	6.7 b	6.3 b	6.3 	7.0 	7.0 	7.0 b
A,PC_EMP,DK02	3.1 	2.9 	2.8 b	3.3 b	3.1 	3.1 	2.8 	2.9 b
A,PC_EMP,DK03	3.2 	3.2 	3.2 b	3.2 b	3.2 	3.0 	3.0 	3.3 b
