freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,LT	4.0 	4.0 	3.6 	3.7 	4.0 	3.9 	4.0 	4.0 b
A,PC_EMP,LT0	4.0 	4.0 	3.6 	3.7 	4.0 	3.9 	4.0 	4.0 b
A,PC_EMP,LT01	5.9 	5.8 	5.0 	4.7 	5.6 	5.5 	4.9 	5.3 b
A,PC_EMP,LT02	3.3 	3.2 	3.0 	3.2 	3.3 	3.1 	3.5 	3.3 b
A,PC_EMP,LU	6.0 	5.0 b	5.1 	4.6 	5.3 	5.1 	4.2 	4.3 b
A,PC_EMP,LU0	6.0 	5.0 b	5.1 	4.6 	5.3 	5.1 	4.2 	4.3 b
A,PC_EMP,LU00	6.0 	5.0 b	5.1 	4.6 	5.3 	5.1 	4.2 	4.3 b
A,PC_EMP,LV	4.2 	4.3 	4.6 	4.1 	3.7 	3.6 	3.8 	4.2 b
A,PC_EMP,LV0	4.2 	4.3 	4.6 	4.1 	3.7 	3.6 	3.8 	4.2 b
A,PC_EMP,LV00	4.2 	4.3 	4.6 	4.1 	3.7 	3.6 	3.8 	4.2 b
A,PC_EMP,ME	4.1 	3.3 	3.3 	3.6 	4.0 	3.3 	3.5 	: 
A,PC_EMP,ME0	4.1 	3.3 	3.3 	3.6 	4.0 	3.3 	3.5 	: 
A,PC_EMP,ME00	4.1 	3.3 	3.3 	3.6 	4.0 	3.3 	3.5 	: 
A,PC_EMP,MK	3.2 	3.0 	3.2 	3.2 	3.1 	3.2 	3.3 	: 
A,PC_EMP,MK0	3.2 	3.0 	3.2 	3.2 	3.1 	3.2 	3.3 	: 
A,PC_EMP,MK00	3.2 	3.0 	3.2 	3.2 	3.1 	3.2 	3.3 	: 
A,PC_EMP,MT	4.5 	4.5 	4.3 	4.8 	5.2 	5.2 	4.9 	4.4 b
A,PC_EMP,MT0	4.5 	4.5 	4.3 	4.8 	5.2 	5.2 	4.9 	4.4 b
A,PC_EMP,MT00	4.5 	4.5 	4.3 	4.8 	5.2 	5.2 	4.9 	4.4 b
A,PC_EMP,NL	4.6 	4.6 	4.5 	4.5 	4.6 	4.8 	4.7 	5.1 b
A,PC_EMP,NL1	3.6 	3.6 	3.2 	3.1 	3.5 	3.3 	3.6 	3.4 b
A,PC_EMP,NL11	4.8 	4.5 	3.9 	3.4 	4.7 	4.1 	4.6 	4.2 b
A,PC_EMP,NL12	2.9 	3.0 	2.9 	3.3 	3.1 	3.2 	3.5 	2.9 b
A,PC_EMP,NL13	3.0 	3.1 	2.7 	2.6 	2.5 	2.4 	2.6 	3.1 b
A,PC_EMP,NL2	3.5 	3.7 	3.4 	3.6 	3.6 	3.9 	3.8 	4.5 b
A,PC_EMP,NL21	3.3 	3.2 	3.2 	3.2 	3.3 	3.8 	3.6 	3.5 b
A,PC_EMP,NL22	3.5 	4.0 	3.6 	3.8 	3.8 	3.8 	4.0 	5.3 b
A,PC_EMP,NL23	3.6 	3.5 	2.8 	3.5 	3.7 	4.4 	3.6 	3.8 b
A,PC_EMP,NL3	5.8 	5.7 	5.7 	5.7 	5.8 	5.9 	5.7 	6.2 b
A,PC_EMP,NL31	6.2 	5.6 	6.0 	5.7 	6.0 	6.0 	5.7 	5.6 b
A,PC_EMP,NL32	7.6 	7.5 	7.5 	7.4 	7.2 	7.9 	7.6 	8.5 b
A,PC_EMP,NL33	4.6 	4.6 	4.3 	4.5 	4.7 	4.6 	4.6 	4.9 b
A,PC_EMP,NL34	2.3 	2.5 	2.6 	3.3 	4.1 	3.1 	2.8 	4.4 b
A,PC_EMP,NL4	3.5 	3.4 	3.5 	3.6 	3.6 	3.8 	3.6 	3.8 b
A,PC_EMP,NL41	3.8 	3.8 	3.8 	3.9 	3.7 	4.0 	3.8 	3.9 b
A,PC_EMP,NL42	2.8 	2.5 	2.9 	3.0 	3.3 	3.4 	3.2 	3.4 b
A,PC_EMP,NO	4.0 	3.9 	3.9 	3.9 	3.8 	3.9 	3.9 	4.0 b
A,PC_EMP,NO0	4.0 	3.9 	3.9 	3.9 	3.8 	3.9 	3.9 	4.0 b
A,PC_EMP,NO01	7.7 	7.2 	: 	: 	: 	: 	: 	: 
A,PC_EMP,NO02	2.5 	1.7 	1.6 	: u	: u	3.4 u	3.2 u	3.4 bu
A,PC_EMP,NO03	2.9 	2.8 	: 	: 	: 	: 	: 	: 
A,PC_EMP,NO04	3.0 	2.6 	: 	: 	: 	: 	: 	: 
A,PC_EMP,NO05	2.3 	2.8 	: 	: 	: 	: 	: 	: 
A,PC_EMP,NO06	3.5 	3.8 	3.2 	2.8 u	2.3 u	2.7 u	3.6 u	3.7 bu
A,PC_EMP,NO07	2.6 	2.7 	2.9 	2.9 u	3.0 u	2.4 u	2.6 u	2.9 bu
A,PC_EMP,NO08	: 	: 	5.8 	5.5 	5.6 	5.7 	5.4 	5.3 b
A,PC_EMP,NO09	: 	: 	2.9 	3.3 	2.8 u	2.7 u	3.4 	4.0 b
A,PC_EMP,NO0A	: 	: 	2.9 	3.0 	2.9 	2.8 	2.9 	2.9 b
A,PC_EMP,PL	3.2 	3.3 	3.4 	3.5 	3.6 	3.3 	3.3 	3.3 b
A,PC_EMP,PL2	3.0 	3.4 	3.5 	3.5 	3.8 	3.2 	3.1 	3.6 b
A,PC_EMP,PL4	2.3 	2.5 	2.7 	2.7 	3.0 	2.9 	2.9 	2.8 b
A,PC_EMP,PL5	3.0 	3.0 	2.8 	3.3 	3.0 	2.8 	2.9 	3.4 b
A,PC_EMP,PL6	3.0 	3.1 	3.3 	3.2 	3.3 	3.0 	2.8 	2.6 b
A,PC_EMP,PL7	3.0 	3.0 	2.6 	2.9 	3.1 	2.9 	2.9 	2.5 b
A,PC_EMP,PL8	2.3 	2.1 	2.6 	2.7 	2.5 	2.5 	2.6 	2.5 b
A,PC_EMP,PL9	5.4 	5.3 	5.5 	5.7 	5.7 	5.5 	5.5 	4.9 b
A,PC_EMP,PT	3.2 	3.3 	3.2 	3.2 	3.4 	3.5 	3.6 	3.9 b
A,PC_EMP,PT1	3.2 	3.3 	3.2 	3.2 	3.4 	3.5 	3.7 	4.0 b
A,PC_EMP,PT11	2.8 	2.7 	2.7 	2.9 	3.2 	3.0 	3.1 	2.8 b
A,PC_EMP,PT15	: u	: u	: u	2.3 	2.3 	2.9 	3.2 	3.4 b
A,PC_EMP,PT16	2.4 	2.3 	2.2 	2.0 	2.5 	2.7 	3.1 	3.4 b
A,PC_EMP,PT17	4.9 	5.5 	5.3 	5.1 	5.1 	5.4 	5.5 	6.4 b
A,PC_EMP,PT18	2.1 	1.7 	1.5 	1.8 	1.6 	1.9 	1.6 	2.4 b
A,PC_EMP,PT2	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,PT20	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,PT3	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,PT30	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,RO	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.4 	1.4 b
A,PC_EMP,RO1	1.9 	2.1 	2.4 	2.3 	2.0 	1.6 	1.5 	1.6 b
A,PC_EMP,RO11	1.6 	1.7 	1.9 	1.7 	1.4 	1.0 	1.0 u	1.3 b
A,PC_EMP,RO12	2.2 	2.6 	3.0 	3.0 	2.9 	2.4 	2.1 	2.0 b
A,PC_EMP,RO2	0.9 	0.8 	0.8 	0.9 	0.8 	0.9 	0.8 	0.7 b
A,PC_EMP,RO21	0.8 	0.8 	0.7 u	0.8 	0.8 	1.0 	0.8 	0.8 bu
A,PC_EMP,RO22	0.9 u	0.9 u	0.9 u	1.0 u	0.9 u	0.7 u	0.7 u	: bu
A,PC_EMP,RO3	2.5 	1.9 	2.1 	2.3 	2.5 	2.6 	2.2 	2.1 b
A,PC_EMP,RO31	0.9 	0.9 u	1.0 	0.9 	0.8 u	0.9 	0.8 u	: bu
A,PC_EMP,RO32	4.4 	3.1 	3.4 	3.8 	4.5 	4.5 	3.8 	3.6 b
A,PC_EMP,RO4	0.7 u	1.1 	1.0 	1.0 	1.0 	1.0 	1.1 	1.2 b
A,PC_EMP,RO41	: u	0.8 u	: u	: u	: u	: u	: u	1.0 bu
A,PC_EMP,RO42	: u	1.5 u	1.3 u	1.3 u	1.4 u	1.5 u	1.5 u	1.4 bu
A,PC_EMP,RS	3.6 	3.2 b	3.1 	3.1 	3.0 	3.1 	3.3 	3.2 b
A,PC_EMP,RS1	4.6 	4.4 b	4.5 	4.5 	4.2 	4.4 	4.7 	4.5 b
A,PC_EMP,RS11	6.1 	5.9 b	6.1 	6.0 	5.7 	6.2 	6.5 	6.4 b
A,PC_EMP,RS12	3.3 	2.9 b	2.9 	3.1 	2.8 	2.7 	2.9 	2.8 b
A,PC_EMP,RS2	2.6 	2.1 b	1.7 	1.7 	1.7 	1.8 	1.9 	1.7 b
A,PC_EMP,RS21	2.6 	2.2 b	1.8 	1.7 	1.6 	1.8 	1.9 	1.6 b
A,PC_EMP,RS22	2.6 	1.8 b	1.6 	1.6 	1.9 	1.7 	1.8 	1.8 b
A,PC_EMP,SE	4.7 	4.7 	4.9 	4.8 	4.6 b	4.9 	4.8 	4.5 b
A,PC_EMP,SE1	6.0 	6.0 	6.3 	6.1 	5.8 b	6.1 	5.9 	5.7 b
A,PC_EMP,SE11	7.7 	7.6 	7.9 	7.7 	7.6 b	7.8 	7.3 	6.8 b
A,PC_EMP,SE12	3.4 	3.6 	3.9 	3.8 	2.9 b	3.6 	3.8 	3.9 b
A,PC_EMP,SE2	4.2 	4.2 	4.3 	4.2 	4.0 b	4.1 	4.3 	4.0 b
A,PC_EMP,SE21	3.2 	3.7 	3.5 	3.6 	3.4 b	3.3 	3.2 	3.1 b
A,PC_EMP,SE22	4.8 	4.7 	4.8 	4.9 	4.5 b	4.6 	4.8 	4.5 b
A,PC_EMP,SE23	4.2 	4.1 	4.2 	4.0 	3.9 b	4.0 	4.3 	3.9 b
A,PC_EMP,SE3	3.0 	3.0 	3.4 	3.3 	3.4 b	3.7 	3.0 	3.1 b
A,PC_EMP,SE31	3.2 	3.3 	3.6 	3.5 	3.2 b	3.5 	3.0 	3.5 b
A,PC_EMP,SE32	3.1 	2.8 	2.8 	2.8 	3.5 b	3.7 	3.5 u	2.3 bu
A,PC_EMP,SE33	2.6 	2.8 	3.4 	3.4 	3.4 b	4.1 	2.8 	2.9 b
A,PC_EMP,SI	4.7 	4.5 	4.6 	4.7 	4.7 	4.9 	5.2 	4.7 b
A,PC_EMP,SI0	4.7 	4.5 	4.6 	4.7 	4.7 	4.9 	5.2 	4.7 b
A,PC_EMP,SI03	3.6 	3.3 	3.6 	3.6 	3.4 	3.6 	4.0 	3.4 b
A,PC_EMP,SI04	5.8 	5.9 	5.6 	6.0 	6.2 	6.3 	6.6 	6.1 b
A,PC_EMP,SK	2.6 	2.5 	2.5 	2.9 	2.8 	2.9 	2.8 	2.9 b
A,PC_EMP,SK0	2.6 	2.5 	2.5 	2.9 	2.8 	2.9 	2.8 	2.9 b
A,PC_EMP,SK01	6.5 	6.7 	5.8 	7.3 	7.5 	7.3 	6.8 	5.8 b
A,PC_EMP,SK02	2.0 	1.9 	2.0 	2.0 	2.0 	2.3 	2.1 	2.2 b
A,PC_EMP,SK03	2.3 	2.2 	2.1 	2.6 	2.2 	2.4 	2.8 	3.1 b
A,PC_EMP,SK04	1.8 	1.5 	1.8 	2.0 	2.0 	1.8 	1.8 	2.2 b
A,PC_EMP,TR	2.4 	2.5 	2.4 	2.4 	2.4 	2.5 	2.5 	: 
A,PC_EMP,TR1	4.2 	4.6 	4.3 	3.9 	3.8 	4.2 	4.1 	: 
A,PC_EMP,TR10	4.2 	4.6 	4.3 	3.9 	3.8 	4.2 	4.1 	: 
A,PC_EMP,TR2	2.0 	1.8 	1.8 	2.3 	2.3 	2.2 	2.2 	: 
A,PC_EMP,TR21	2.6 	1.9 	2.1 	3.1 	3.0 	2.8 	2.6 	: 
A,PC_EMP,TR22	1.4 	1.6 	1.3 	1.3 	1.4 	1.6 	1.8 	: 
A,PC_EMP,TR3	2.1 	2.0 	1.7 	1.8 	1.9 	2.0 	2.2 	: 
A,PC_EMP,TR31	2.5 	2.3 	2.0 	2.1 	2.0 	2.3 	2.3 	: 
A,PC_EMP,TR32	2.3 	1.9 	1.4 	1.6 	2.1 	1.8 	2.3 	: 
A,PC_EMP,TR33	1.3 	1.6 	1.6 	1.4 	1.6 	1.6 	1.8 	: 
A,PC_EMP,TR4	2.3 	2.2 	2.6 	2.5 	2.4 	2.2 	2.4 	: 
A,PC_EMP,TR41	2.3 	2.3 	2.8 	2.7 	2.6 	2.2 	2.7 	: 
A,PC_EMP,TR42	2.3 	2.1 	2.3 	2.2 	2.2 	2.2 	2.1 	: 
A,PC_EMP,TR5	3.3 	3.1 	3.0 	3.3 	3.4 	3.5 	3.4 	: 
A,PC_EMP,TR51	3.5 	3.2 	3.0 	3.4 	3.6 	3.5 	3.7 	: 
A,PC_EMP,TR52	2.7 	3.0 	2.9 	3.0 	3.2 	3.4 	2.8 	: 
A,PC_EMP,TR6	1.8 	2.0 	2.0 	2.1 	2.3 	2.0 	2.2 	: 
A,PC_EMP,TR61	1.7 	2.0 	2.0 	1.9 	2.4 	2.1 	2.3 	: 
A,PC_EMP,TR62	2.0 	2.1 	2.1 	2.2 	1.9 	1.8 	1.7 	: 
A,PC_EMP,TR63	1.8 	1.6 	2.1 	2.0 	2.6 	2.2 	2.7 	: 
A,PC_EMP,TR7	1.6 	1.6 	1.5 	1.6 	1.8 	1.9 	1.9 	: 
A,PC_EMP,TR71	1.5 	1.4 	1.2 	1.5 	2.2 	2.2 	1.8 	: 
A,PC_EMP,TR72	1.8 	1.7 	1.6 	1.7 	1.6 	1.6 	2.0 	: 
A,PC_EMP,TR8	1.7 	1.7 	1.9 	1.7 	1.5 	1.6 	1.5 	: 
A,PC_EMP,TR81	1.4 	1.3 	2.0 	1.8 	1.0 	0.9 	1.2 	: 
A,PC_EMP,TR82	1.2 	1.4 	2.1 	2.4 	2.2 	2.2 	1.5 	: 
A,PC_EMP,TR83	2.0 	1.9 	1.8 	1.4 	1.5 	1.6 	1.6 	: 
A,PC_EMP,TR9	1.1 	1.3 	1.4 	1.0 	0.9 	1.0 	1.3 	: 
A,PC_EMP,TR90	1.1 	1.3 	1.4 	1.0 	0.9 	1.0 	1.3 	: 
A,PC_EMP,TRA	1.1 	1.0 	1.1 	1.4 	1.5 	1.3 	1.3 	: 
A,PC_EMP,TRA1	1.4 	1.4 	1.3 	2.2 	2.2 	1.9 	1.5 	: 
A,PC_EMP,TRA2	0.8 	0.8 	0.9 	0.7 u	0.9 	0.6 u	1.0 	: 
A,PC_EMP,TRB	1.1 	1.2 	1.2 	1.3 	1.2 	1.5 	1.3 	: 
A,PC_EMP,TRB1	1.3 	1.3 	1.6 	1.9 	1.5 	1.8 	1.4 	: 
A,PC_EMP,TRB2	1.0 	1.1 	0.7 	0.6 	0.8 	1.1 	1.1 	: 
A,PC_EMP,TRC	1.7 	1.4 	1.7 	1.8 	1.7 	1.5 	1.5 	: 
A,PC_EMP,TRC1	2.9 	2.0 	2.2 	3.0 	2.5 	2.4 	2.1 	: 
A,PC_EMP,TRC2	0.8 	1.1 	1.5 	1.5 	1.4 	1.0 	1.1 	: 
A,PC_EMP,TRC3	1.1 	0.9 	1.1 	0.4 u	0.8 	0.9 	1.2 	: 
A,PC_EMP,UK	4.5 	4.6 	4.6 	4.7 	4.5 	4.6 	: 	: 
A,PC_EMP,UKC	3.3 	2.6 	3.5 	3.9 	3.3 	3.2 	: 	: 
A,PC_EMP,UKC1	2.3 	2.5 	2.8 	3.7 	3.4 	3.0 	: 	: 
A,PC_EMP,UKC2	4.1 	2.7 	4.0 	4.1 	3.2 	3.4 	: 	: 
A,PC_EMP,UKD	3.3 	3.1 	3.5 	3.3 	3.6 	3.6 	: 	: 
A,PC_EMP,UKD1	2.7 u	1.7 u	3.2 u	3.3 u	3.7 u	2.6 u	: 	: 
A,PC_EMP,UKD3	3.5 	3.7 	3.9 	3.3 	4.0 	4.5 	: 	: 
A,PC_EMP,UKD4	3.0 	3.0 	3.1 	2.3 	3.2 	2.6 	: 	: 
A,PC_EMP,UKD6	3.2 	3.3 	4.3 	4.1 	3.8 	3.3 	: 	: 
A,PC_EMP,UKD7	3.6 	2.4 	2.7 	3.6 	3.1 	3.4 	: 	: 
A,PC_EMP,UKE	3.5 	3.5 	3.7 	3.9 	4.0 	3.9 	: 	: 
A,PC_EMP,UKE1	2.3 u	2.8 	3.2 	2.8 	3.2 	3.0 	: 	: 
A,PC_EMP,UKE2	3.5 	4.7 	3.9 	3.9 	5.6 	3.3 	: 	: 
A,PC_EMP,UKE3	3.1 	2.9 	3.6 	3.5 	3.7 	3.2 	: 	: 
A,PC_EMP,UKE4	4.3 	3.8 	3.9 	4.4 	4.0 	4.9 	: 	: 
A,PC_EMP,UKF	3.8 	3.6 	3.7 	4.3 	3.4 	3.4 	: 	: 
A,PC_EMP,UKF1	3.6 	3.3 	3.6 	4.1 	3.8 	3.7 	: 	: 
A,PC_EMP,UKF2	4.4 	4.0 	4.2 	4.6 	3.3 	3.0 	: 	: 
A,PC_EMP,UKF3	2.7 	3.6 	2.9 u	3.7 	2.7 u	3.6 	: 	: 
A,PC_EMP,UKG	3.1 	4.0 	3.3 	3.2 	2.9 	2.8 	: 	: 
A,PC_EMP,UKG1	3.4 	4.1 	3.1 	4.0 	2.6 	2.9 	: 	: 
A,PC_EMP,UKG2	3.1 	4.1 	3.3 	3.1 	2.6 	2.7 	: 	: 
A,PC_EMP,UKG3	2.9 	3.9 	3.4 	2.8 	3.2 	2.9 	: 	: 
A,PC_EMP,UKH	4.3 	4.4 	4.5 	4.3 	4.4 	4.6 	: 	: 
A,PC_EMP,UKH1	4.6 	3.9 	4.2 	3.8 	4.7 	4.3 	: 	: 
A,PC_EMP,UKH2	4.2 	5.0 	5.3 	4.7 	4.8 	5.1 	: 	: 
A,PC_EMP,UKH3	4.0 	4.5 	4.3 	4.4 	3.7 	4.4 	: 	: 
A,PC_EMP,UKI	8.9 	9.3 	8.5 	8.7 	8.7 	8.7 	: 	: 
A,PC_EMP,UKI3	12.5 	15.5 	11.4 	12.3 	10.8 	12.0 	: 	: 
A,PC_EMP,UKI4	11.7 	12.5 	11.5 	11.7 	11.7 	10.9 	: 	: 
A,PC_EMP,UKI5	5.4 	5.7 	6.3 	5.9 	6.0 	6.6 	: 	: 
A,PC_EMP,UKI6	6.6 	6.1 	6.1 	5.9 	5.3 	6.7 	: 	: 
A,PC_EMP,UKI7	7.7 	7.1 	6.7 	7.2 	8.2 	7.2 	: 	: 
A,PC_EMP,UKJ	4.8 	5.0 	4.9 	5.2 	4.8 	5.0 	: 	: 
A,PC_EMP,UKJ1	5.6 	5.8 	5.7 	5.3 	5.6 	4.7 	: 	: 
A,PC_EMP,UKJ2	5.3 	5.5 	4.8 	5.9 	5.8 	6.4 	: 	: 
A,PC_EMP,UKJ3	3.4 	3.4 	4.0 	4.4 	3.6 	3.9 	: 	: 
A,PC_EMP,UKJ4	4.7 	4.6 	4.6 	4.7 	3.4 	4.5 	: 	: 
A,PC_EMP,UKK	4.3 	4.1 	4.7 	4.5 	4.3 	4.1 	: 	: 
A,PC_EMP,UKK1	4.7 	4.4 	5.3 	5.1 	4.2 	4.0 	: 	: 
A,PC_EMP,UKK2	4.1 	3.6 	3.9 	3.7 	3.6 	4.0 	: 	: 
A,PC_EMP,UKK3	4.0 	5.7 	5.5 	5.0 	5.0 	5.2 	: 	: 
A,PC_EMP,UKK4	3.6 	3.6 	3.8 	3.9 	4.9 	3.7 	: 	: 
A,PC_EMP,UKL	3.0 	3.5 	3.7 	3.2 	3.3 	3.6 	: 	: 
A,PC_EMP,UKL1	3.0 	3.3 	3.3 	3.0 	2.5 	3.0 	: 	: 
A,PC_EMP,UKL2	3.2 	3.8 	4.3 	3.6 	4.6 	4.7 	: 	: 
A,PC_EMP,UKM	3.2 	3.4 	3.8 	3.4 	3.4 	4.1 	: 	: 
A,PC_EMP,UKM5	1.9 u	: u	: u	: u	: u	2.0 u	: 	: 
A,PC_EMP,UKM6	2.1 u	3.3 u	4.2 u	3.2 u	3.0 u	2.8 u	: 	: 
A,PC_EMP,UKM7	3.5 	4.3 	4.7 	3.8 	3.8 	4.5 	: 	: 
A,PC_EMP,UKM8	3.7 	3.5 	4.1 	4.2 	3.8 	5.0 	: 	: 
A,PC_EMP,UKM9	3.3 	2.7 	2.7 	2.5 	2.9 	3.5 	: 	: 
A,PC_EMP,UKN	3.3 	3.5 	2.8 	2.9 	3.2 	2.9 	: 	: 
A,PC_EMP,UKN0	3.3 	3.5 	2.8 	2.9 	3.2 	2.9 	: 	: 
A,THS_PER,AT	163.8 	164.3 	171.0 	174.8 	180.3 	181.3 	162.5 	169.8 b
A,THS_PER,AT1	88.8 	86.9 	94.7 	97.9 	101.6 	99.5 	90.6 	95.2 b
A,THS_PER,AT11	3.5 u	3.1 u	3.6 u	: u	3.9 u	3.7 u	3.2 u	: bu
A,THS_PER,AT12	26.2 	20.5 	23.9 	29.5 	28.6 	28.8 	24.4 	23.9 b
A,THS_PER,AT13	59.1 	63.3 	67.2 	65.4 	69.0 	66.9 	63.0 	68.4 b
A,THS_PER,AT2	22.1 	23.9 	26.2 	23.5 	25.3 	26.0 	23.8 	26.0 b
A,THS_PER,AT21	6.8 	7.1 	8.2 	7.0 	7.5 	7.4 	7.1 	6.7 b
A,THS_PER,AT22	15.3 	16.8 	18.0 	16.5 	17.9 	18.6 	16.7 	19.3 b
A,THS_PER,AT3	52.8 	53.5 	50.2 	53.4 	53.4 	55.8 	48.0 	48.6 b
A,THS_PER,AT31	17.5 	20.9 	20.1 	21.6 	21.1 	21.4 	16.7 	17.6 b
A,THS_PER,AT32	12.1 	11.7 	10.5 	9.9 	10.2 	11.6 	11.7 	12.8 b
A,THS_PER,AT33	15.4 	13.4 	12.1 	14.6 	15.5 	16.3 	12.8 	11.5 b
A,THS_PER,AT34	7.9 	7.5 	7.5 	7.3 	6.6 	6.4 	6.9 	6.8 b
A,THS_PER,BE	184.8 	181.2 	179.2 	198.0 b	204.6 b	204.6 	214.0 	210.3 b
A,THS_PER,BE1	33.2 	32.4 	34.4 	35.7 b	37.4 b	34.7 	39.8 	42.1 b
A,THS_PER,BE10	33.2 	32.4 	34.4 	35.7 b	37.4 b	34.7 	39.8 	42.1 b
A,THS_PER,BE2	103.6 	102.3 	95.9 	106.7 b	110.1 b	114.8 	117.1 	110.8 b
A,THS_PER,BE21	30.1 	32.1 	26.8 	32.7 b	33.1 b	38.3 	43.3 	38.9 b
A,THS_PER,BE22	9.8 	10.1 	9.9 	9.2 b	7.1 b	10.6 	10.6 	10.0 b
A,THS_PER,BE23	27.0 	25.8 	27.6 	30.1 b	33.6 b	30.2 	27.5 	30.4 b
A,THS_PER,BE24	21.2 	18.4 	19.0 	18.3 b	20.6 b	19.7 	20.3 	17.5 b
A,THS_PER,BE25	15.7 	15.9 	12.6 	16.4 b	15.7 b	16.0 	15.5 	13.9 b
A,THS_PER,BE3	48.0 	46.6 	48.9 	55.7 b	57.0 b	55.1 	57.1 	57.4 b
A,THS_PER,BE31	8.4 	9.1 	8.1 	13.1 b	11.9 b	10.2 	9.2 	10.3 b
A,THS_PER,BE32	13.7 	11.7 	14.3 	16.9 b	15.8 b	15.4 	14.2 	16.1 b
A,THS_PER,BE33	16.0 	15.7 	17.8 	15.6 b	16.5 b	17.6 	21.2 	19.4 b
A,THS_PER,BE34	4.2 u	3.4 u	3.9 u	4.3 bu	4.5 bu	3.6 u	4.1 u	3.8 bu
A,THS_PER,BE35	5.7 	6.7 	4.9 u	5.8 b	8.3 b	8.4 	8.4 	7.8 b
A,THS_PER,BG	82.3 	87.1 	87.4 	87.3 	86.0 	88.5 b	92.1 	91.3 b
A,THS_PER,BG3	25.3 	31.7 	31.5 	28.7 	29.0 	30.8 b	29.2 	27.5 b
A,THS_PER,BG31	4.7 u	4.4 u	4.6 u	4.0 u	4.7 u	4.6 bu	4.5 u	4.8 bu
A,THS_PER,BG32	6.1 u	6.1 u	7.4 	8.2 	7.9 	7.7 b	6.4 u	6.7 b
A,THS_PER,BG33	7.2 u	9.9 	8.6 	7.7 	6.7 	8.7 b	9.9 	8.6 b
A,THS_PER,BG34	7.3 u	11.3 	10.9 	8.8 	9.6 	9.9 b	8.3 	7.5 b
A,THS_PER,BG4	57.0 	55.4 	55.9 	58.6 	57.1 	57.7 b	62.9 	63.8 b
A,THS_PER,BG41	43.8 	43.7 	45.4 	47.0 	44.4 	44.5 b	51.8 	50.1 b
A,THS_PER,BG42	13.2 	11.6 	10.5 	11.5 	12.7 	13.1 b	11.1 	13.6 b
A,THS_PER,CH	236.9 	248.0 	246.5 	244.6 	248.5 	253.0 	241.4 	228.5 b
A,THS_PER,CH0	236.9 	248.0 	246.5 	244.6 	248.5 	253.0 	241.4 	228.5 b
A,THS_PER,CH01	50.4 	49.1 	44.0 	46.2 	49.3 	49.0 	46.4 	44.3 b
A,THS_PER,CH02	47.1 	47.8 	48.4 	47.5 	46.2 	45.7 	41.9 	41.7 b
A,THS_PER,CH03	30.6 	36.6 	35.7 	32.9 	33.0 	32.7 	34.7 	33.0 b
A,THS_PER,CH04	54.8 	55.1 	57.9 	59.4 	62.6 	61.8 	61.9 	55.8 b
A,THS_PER,CH05	26.0 	27.4 	28.3 	27.6 	27.2 	28.3 	25.4 	25.2 b
A,THS_PER,CH06	18.3 	21.5 	22.4 	21.0 	19.4 	24.7 	21.0 	19.4 b
A,THS_PER,CH07	9.6 	10.4 	9.7 	10.0 	10.9 	10.8 	10.0 	9.3 b
A,THS_PER,CY	11.6 	12.1 b	12.6 	13.4 	13.8 	14.0 	13.2 	14.9 b
A,THS_PER,CY0	11.6 	12.1 b	12.6 	13.4 	13.8 	14.0 	13.2 	14.9 b
A,THS_PER,CY00	11.6 	12.1 b	12.6 	13.4 	13.8 	14.0 	13.2 	14.9 b
A,THS_PER,CZ	191.3 	187.0 	209.8 	204.1 	197.5 	192.7 	203.0 	209.9 b
A,THS_PER,CZ0	191.3 	187.0 	209.8 	204.1 	197.5 	192.7 	203.0 	209.9 b
A,THS_PER,CZ01	63.9 	54.4 	66.3 	60.4 	62.8 	61.5 	61.9 	66.2 b
A,THS_PER,CZ02	24.2 	25.6 	26.7 	27.4 	25.2 	25.7 	29.0 	30.5 b
A,THS_PER,CZ03	15.9 	17.6 	16.4 	14.1 	15.4 	17.9 	19.7 	19.4 b
A,THS_PER,CZ04	14.3 	13.3 	18.8 	16.9 	11.7 	11.3 	14.0 	15.9 b
A,THS_PER,CZ05	19.3 	22.1 	20.2 	25.2 	23.2 	21.0 	22.2 	20.3 b
A,THS_PER,CZ06	25.7 	25.8 	27.9 	29.5 	26.7 	26.7 	26.5 	23.9 b
A,THS_PER,CZ07	14.4 	12.8 	16.0 	15.4 	16.6 	12.0 	16.1 	15.4 b
A,THS_PER,CZ08	13.5 	15.4 	17.5 	15.2 	15.9 	16.7 	13.6 	18.2 b
A,THS_PER,DE	1641.6 	1643.3 	1655.4 	1661.8 	1660.6 	1681.6 	1571.9 bp	1578.5 bp
A,THS_PER,DE1	232.1 	228.3 	226.6 	223.4 	222.0 	229.7 	225.2 bp	204.6 bp
A,THS_PER,DE11	95.9 	94.7 	97.7 	90.8 	91.8 	95.5 	91.6 bp	77.9 bp
A,THS_PER,DE12	59.1 	55.5 	53.9 	59.0 	54.9 	54.3 	59.2 bp	51.3 bp
A,THS_PER,DE13	42.7 	43.4 	45.4 	43.1 	42.6 	46.4 	37.4 bu	42.4 bp
