Reference area,TIME_PERIOD,OBS_VALUE,UNIT_MULT
Luxembourg,2015,702.6473826,3
Mexico,2015,127272.962,3
Netherlands,2015,19163.17578,3
New Zealand,2015,42827.78784,3
Norway,2015,4786.862573,3
Poland,2015,31796.86073,3
Portugal,2015,6910.638815,3
Slovak Republic,2015,2191.155771,3
Slovenia,2015,1735.509715,3
Spain,2015,32876.7835,3
Sweden,2015,6432.313742,3
Switzerland,2015,6311.087416,3
Türkiye,2015,59207.55088,3
United Kingdom,2015,44162.66402,3
United States,2015,614842.8592,3
Australia,2014,83237.20027,3
Austria,2014,7699.078206,3
Belgium,2014,9272.001864,3
Canada,2014,52210.53169,3
Chile,2014,12309.86,3
Colombia,2014,46863.29838,3
Costa Rica,2014,2842.91,3
Czechia,2014,7367.97193,3
Denmark,2014,13032.17494,3
Estonia,2014,1488.985955,3
Finland,2014,6481.203834,3
France,2014,75933.37417,3
Germany,2014,62785.48795,3
Greece,2014,8347.140033,3
Hungary,2014,6334.999695,3
Iceland,2014,770.6447434,3
Ireland,2014,18934.7669,3
Israel,2014,2283.764161,3
Italy,2014,32642.8964,3
Japan,2014,34071.9267,3
Korea,2014,24031.20165,3
Latvia,2014,2105.338744,3
Lithuania,2014,4158.443312,3
Luxembourg,2014,692.7310995,3
Mexico,2014,124667.6691,3
Netherlands,2014,18517.86774,3
New Zealand,2014,43203.35596,3
Norway,2014,4724.680564,3
Poland,2014,32424.3201,3
Portugal,2014,6889.42529,3
Slovak Republic,2014,2429.971966,3
Slovenia,2014,1696.860199,3
Spain,2014,32252.95559,3
Sweden,2014,6418.478646,3
Switzerland,2014,6416.546377,3
Türkiye,2014,59497.89435,3
United Kingdom,2014,44176.20134,3
United States,2014,613361.1242,3
Australia,2013,83003.91288,3
Austria,2013,7569.877077,3
Belgium,2013,9178.459912,3
Canada,2013,53592.83414,3
Chile,2013,12695.03,3
Colombia,2013,47702.75039,3
Costa Rica,2013,2976.33,3
Czechia,2013,7741.259822,3
Denmark,2013,12908.44863,3
Estonia,2013,1443.567239,3
Finland,2013,6404.341329,3
France,2013,74319.1339,3
Germany,2013,61734.58353,3
Greece,2013,8754.651202,3
Hungary,2013,6110.169318,3
Iceland,2013,729.7490617,3
Ireland,2013,18791.00917,3
Israel,2013,2217.113044,3
Italy,2013,33061.22852,3
Japan,2013,34451.89818,3
Korea,2013,23898.59422,3
Latvia,2013,2025.70466,3
